Title,Rating,Overview
Drag Race España,8.7,Spanish Drag superstar Supremme Deluxe presides as ten of Spain's most talented queens compete to be crowned Spain's first Drag Race Superstar.
Little Mosque on the Prairie,6.5,"A satirical view at a Muslim community living in Mercy, Saskatchewan, Canada."
Power Rangers Lost Galaxy,6.8,Power-Packed Adventure! Action-Packed Fun! A time in the future. The space colony Terra Venture journeys beyond Earth in search of new worlds. Peace reigns throughout the cosmos...or does ...                See full summary »
Bakuman.,8.0,"Mahiro and Takagi team up to pursue their dreams of making it in the manga industry while sharing experiences, successes and failures along the way."
20/20,6.7,ABC's original hour-long news magazine.
Karakai Jouzu no Takagi-san,7.7,"If you blush, you lose. Nishikata has been teased mercilessly by Takagi and always winds up blushing! But he vows to one day get back at her."
Game of Silence,7.0,A rising attorney finds his perfectly crafted life threatened when his long-lost childhood friends threaten to expose a dark secret from their past.
Beauty Inside,7.6,"The series tells the love story of Han Se Gye, an actress who must spend one week out of each month living in someone else's body, and Seo Do Jae, a man who suffers from Prosopagnosia."
Dirty Lines,7.4,"In 1980s Amsterdam, a family starts the first-ever phone sex line but being in the business of sexual desires leads them to question their own."
Seksenler,6.9,Turkey's series about the events experienced in the 1980s.
The Crow: Stairway to Heaven,6.4,"A deceased street musician returns to life, and must restore the balance between good and evil to be reunited with his dead girlfriend."
Saving the Tigers,8.2,Revolves around three frustrated husbands who meet by chance and how their rants over their marital problems set off a series of crazy events.
Too Close for Comfort,6.6,"In liberal San Francisco a conservative cartoonist tries to keep his two daughters, who rent an apartment below him, safe. In season 6 the cartoonist buys a small-town newspaper in Tiburon."
Mulaney,4.1,John's desire to be a good person challenges his friendship with his roommates Jane and Motif.
Mobile Suit Gundam,7.9,"In the war between the Earth Federation and Zeon, a young and inexperienced crew find themselves on a new spaceship. Their best hope of making it through the conflict is the Gundam, a giant humanoid robot, and its gifted teenage pilot."
The Gloaming,6.6,"When an unidentified woman is found brutally murdered, Detective Molly McGee teams up with fellow cop, Alex O'Connell, with whom she shares a tragic past, to solve the crime."
Graveyard,7.8,"""Graveyard"" is a dark basement, where a special unit works to solve unsolved murders of women. Commissioner Önem, will have to fight masculine prejudices that support male violence."
Jeet Ki Zid,8.3,Jeet Ki Zid is an Indian web series based on the life of a retired Indian Army special forces officer Major Deependra Singh Sengar played by Amit Sadh.
Prisoners of War,8.3,"After 17 years in captivity, Israeli soldiers Nimrode Klein, Uri Zach, and Amiel Ben Horin return home to the country that made them national icons. They work to overcome the trauma of ...                See full summary »"
Yesilçam,7.8,"Showcasing Turkey of the 1960s, while it follows a film producer who will tell the story of survival in Yesilcam as he experiences the golden age of Turkish cinema."
The Making of the Mob,7.8,"Making of the Mob, is an eight-part docudrama that begins in 1905 and spans more than 50 years, tracing the original five families that led to the modern American Mafia, including the rise ...                See full summary »"
Beck: Mongolian Chop Squad,8.3,"Koyuki Tanaka's boring life is changed after meeting Ryusuke Minami, a local musician with a bad attitude, who introduces him to foreign music."
Ishqbaaaz,4.8,"The story is about three brothers - Shivaay, Omkara and Rudra -- who share an unbreakable bond despite their dysfunctional family."
Chelsea Does,7.4,"Comedienne and writer Chelsea Handler discusses the topics of marriage, racism, Silicon Valley, and drugs."
Hunting Hitler,7.3,"After declassified FBI files about Hitler have been released, a group of specialists work together to try and find the truth of Hitler's supposed death. Did he really die in the bunker?"
The New Addams Family,6.4,An updated version of the classic series following a creepy family who live in a haunted house.
Scare Tactics,6.7,"The show, just the latest in a string of ""reality based programming"" will feature ""Candid Camera"" like stunts inspired by scenes from Science fiction television programs and movies. The ""...                See full summary »"
Sword Art Online Alternative: Gun Gale Online,6.8,"A university student tries out a VR battle royale shooter and quickly establishes herself as one of the most menacing players in the competitive scene thanks to her tiny, lightning-fast avatar LLENN."
Sen Anlat Karadeniz,5.7,"A victim of violence, Nefes fights with Vedat, a psychopath, for her son and herself. In this way, she will experience true love with Tahir, in the Black Sea Region."
Making History,6.3,Making History follows three friends from two different centuries as they try to balance the thrill of time travel with the mundane concerns of their present-day lives.
Emil i Lönneberga,7.8,"The series tells stories from the childhood of a sometimes naughty, but very lovable and kindhearted young boy growing up on a farm in southern Sweden in the early 20th century."
Billy on the Street,7.8,"Billy Eichner quizzes people in the face for ""amazing"" gifts and money."
F4 Thailand: Boys Over Flowers,7.8,"An ordinary, poor girl, Gorya, stands up to and through a series of mishaps and conflicts, falls in love with Thyme, the leader of the F4, the most powerful young men in Thailand."
Stolen Away,7.2,"A man gets caught in Colombian customs with drugs, his goal is to end up in prison to contact who kidnapped his daughter years ago."
The Addams Family,7.0,The further misadventures of the eccentrically macabre family.
Camp,7.2,Little Otter Family Camp is a wicked slice of lake-side heaven. Parents decompress with gin while teenagers make gleeful mischief and fall in and out of love.
Mobile Suit Gundam 00,8.1,"In the distant future, mankind has used up all of its fossil fuels, forcing them to turn to Solar Power as an alternate energy source. As a result, this causes a rift to form between richer...                See full summary »"
Mr. D,7.4,Follows a teacher juggle through being a teacher and deal with his students while trying to maintain his not so cool lifestyle.
Memphis Beat,7.5,"Memphis Beat centers on Dwight Hendricks, a quirky Memphis police detective with an intimate connection to the city, a passion for blues music and a close relationship with his mother."
Plastic Memories,7.3,"After failing his college exams, 18 year old Tsukasa Mizugaki is offered a position at the renowned SAI corporation due to his father's connections. SAI corporation is known for its ...                See full summary »"
Perfect Couples,6.5,Three couples have different ideas of what makes the perfect relationship.
Super Robot Monkey Team Hyperforce Go!,6.4,A twelve-year-old boy named Chiro was exploring the outskirts of Shuggazoom City and discovered a giant and abandoned Super Robot.
To the Manor Born,7.4,"Following her husband's passing, Audrey fforbes-Hamilton is forced to sell her stately home. While she comes to terms with her downward mobility, she decides to show the new owner a thing or two about ""nobility""."
The Mallorca Files,6.7,A British and German detective clashing over how to police the Spanish island of Mallorca.
The Parkers,6.9,Nikki and Kim Parker attend Santa Monica college to earn their college degrees.
Kurtlar Vadisi: Terör,6.2,"Polat Alemdar and his friends continue to struggle, in the last two seasons against mafia, but in this season against the terrorists organizations, in a particular PKK."
One Life to Live,6.9,"One Life to Live centres takes place in the fictional town of Llanview, PA.around the wealthy Lord family, and the middle-class Woleks and Rileys."
The Amazing Spider-Man,6.2,"With the powers given by the bite of a radioactive spider, a young man fights crime as a wall-crawling superhero."
Haganai: I Don't Have Many Friends,7.0,"A friendless teenager, feared by his fellow classmates, joins a club hoping to finally make some friends."
Chaos,6.9,Rogue CIA agents battle the bureaucracy.
Instant Star,7.5,"Based on a song she wrote and performed, a young girl wins a national contest for a recording contract. Now she must balance the life of a normal teenager with that of a rising star in the music industry."
Underdog,7.2,The adventures of a rhyming canine superhero.
Tripping the Rift,6.9,"Tripping the Rift is a CGI science fiction comedy television series. The universe is modeled largely after the Star Trek universe, with references to ""warp drive"" and ""transporter beam"" ...                See full summary »"
"Me, Myself and I",7.3,"A comedy examines one man's life over a 50-year span. It explores three distinct periods in his life - as a 14-year-old in 1991, a 40-year-old in present day and a 65-year-old in 2042."
Mystic Pop-up Bar,8.0,A young man with an unique ability begins working for a centuries-old bar owner who resolves her customers' emotional troubles by entering their dreams.
Shigurui: Death Frenzy,7.7,The series starts off at a tournament where a one armed samurai faces a blind one and quickly flashes back to reveal the history between the two fighters.
A Place Further Than the Universe,8.2,A group of high school girls join an expedition headed towards the Antarctic.
Fantastic Four: World's Greatest Heroes,6.6,The adventures of the Marvel Universe's premiere superhero family.
Entrapped,7.0,Police investigate the disappearance of a cult member.
Cedar Cove,6.9,Follows the professional and personal life of Municipal Court Judge Olivia Lockhart and the surrounding townsfolk of Cedar Cove.
Fate/Apocrypha,6.6,"In an alternate universe, the Holy Grail War was won by the Yggdamillenia family. Now two factions with 7 Master-Servant pairs each and 1 extra Servant as the Ruler are fighting to win the Greater Holy Grail."
Who Wants to Be a Millionaire,6.1,"Contestants use audience input, elimination of multiple choice options, and help from a friend to answer trivia questions for an escalating tier of cash prizes."
Noel Fielding's Luxury Comedy,6.3,"The adventures of Noel and his friends Smooth, Andy Warhol, and Dolly."
With Love,7.2,"Follows the Diaz siblings, Lily and Jorge, who are on a mission to find love and purpose. The Diaz siblings cross paths with seemingly unrelated residents during some of the most heightened days of the year -the holidays."
Sue Thomas: F.B.Eye,7.4,"Sue Thomas is a deaf woman who works for the FBI in Washington, DC. Using her ability to read lips and with the help of her dog, Levi, she solves tough crimes that her hearing colleagues and listening devices can't crack."
The Newsreader,7.7,The Newsreader provides an insight into the smoky Australian newsrooms of the 1980s and the people who brought us our nightly news.
Los Espookys,7.5,"A group of friends turns their love for horror into a peculiar business, providing horror to those who need it in a dreamy Latin American country where the strange and eerie are just part of daily life."
Sunset Beach,6.9,"Having discovered her fiancé Tim Truman kissing another woman, Meg Cummings leaves her home in Kansas on their wedding day to start a new life in Sunset Beach, California. Her goal is to ...                See full summary »"
I'm in the Band,6.6,A teenager becomes lead guitarist for his favorite washed up rock band trying to make a comeback. They let him be lead guitarist in exchange for letting them live in his house in the suburbs.
Istanbullu Gelin,7.0,"Süreyya, a young and beautiful singer, involves to the life of rooted Boran family of Bursa as a wife of the oldest son Faruk and all the family's secrets begins to uncover."
Stuklen dom,7.7,"The series follows the return of a young man in Bulgaria only to see the murder of his father and the complicated relationships of his unexpected new family. The story unravels the reality of Bulgarian police, business and lifestyle."
Trailer Park Boys: Out of the Park,7.0,"Ricky, Julian, and Bubbles go to Europe for a paid vacation and realize when they get there they have to complete tasks in different countries to earn money to party."
Delocated,7.4,"A man who's in the witness protection program creates a TV reality show about his situation. He has to wear a black ski mask all the time, but other than that he and his family try to live a ""normal"" life in front of the camera."
Comicstaan,6.8,"Aspiring comedians from all over India compete to see who will be the future of funny. Mentored by the biggest comics in the country, find out who will be crowned the winner of Comicstaan."
Swamp People,6.2,"Welcome to one of America's last frontiers: the wild swamplands of Southern Louisiana, a place whose history stretches back to the 17th century. It's the start of the most exciting-and ...                See full summary »"
Alfred J. Kwak,7.8,"After a horrific car accident takes the lives of his parents and siblings, a young duckling is raised by his considerate uncle to be good and responsible; meanwhile, his schoolmate Dolf slowly becomes seduced by fascism."
Mobile Suit Gundam Seed,7.7,The discovery of an advanced model of combat mecha on their space colony throws a young man and his friends into involvement in an interplanetary war as the crew of a powerful fighting ship.
Bizarre Foods with Andrew Zimmern,7.7,Host Andrew Zimmern explores various cultures through their cuisines.
Kokoro Connect,7.4,Five school friends experience strange supernatural phenomena that put their relationships to test.
The Sentinel,6.6,"In the jungles of Peru, the fight for survival heightened his senses. Now, Detective Jim Ellison is a sentinel in the fight for justice. Anthropologist Blair Sandburg works side by side with Jim, helping him develop these senses."
Are You Smarter Than a 5th Grader?,4.9,A quiz show that features adult contestants and questions directly from the textbooks of first through fifth graders.
Kung Fu: The Legend Continues,6.5,"Kwai Chang Caine was a priest at a Shaolin temple, where his son Peter also lived and studied. The temple was destroyed and father and son each thought the other had perished in the fire. ...                See full summary »"
18 Again,8.2,A 37-year-old man on the verge of being divorced from his wife suddenly finds himself inside his 18-year-old body. He starts living a new life under a new name to get closer to his children and protect them.
Angels of Death,6.5,"When Rachel wakes up with no memories in the basement of an unfamiliar building, she runs into Zack, a scythe-carrying serial killer."
Ready or Not,6.8,Two teenage friends come of age while going through life's struggles together.
The Curious Creations of Christine McConnell,7.7,"Part cooking show, part sitcom in the vein of the Addams Family and the Muppet Show set inside the enchanted home of Christine McConnell, who has attracted hundreds of thousands of social media followers with her creepy edible creations."
Tomodachi Game,7.6,"Yuuichi Katagiri knows the hardships of not having enough funds. He works hard to save up in order to go on the high school trip. However, after the class' money is all collected; it's stolen. Suspicion falls on two of Yuuichi's friends."
The Balkan Line,7.6,A secret operation to capture Slatina Airport in Kosovo after the bombing of Yugoslavia. These events became the most dangerous aggravation of relations between the Russians and the West since the Cuban Missile Crisis.
Çilek Kokusu,5.9,"A hardworking girl and a reckless boy.. Although their major differences, fate on the other hand has other plans for them."
Fat Albert and the Cosby Kids,6.7,The educational adventures of a group of Afro-American inner city kids.
Meray Paas Tum Ho,8.3,An honest middle-class guy madly in love with his wife struggles when she leaves him because of money.
On the Buses,7.0,Jack-the-lad bus driver and conductor Stan and Jack enjoy the female employees more than their work and Inspector Blake is relentless in his attempts to make their lives a misery.
Loiter Squad,6.9,"Sketch comedy performed by Odd Future Wolf Gang Kill Them All, as well as reality-TV segments featuring the group."
The Secret Saturdays,7.0,An adventuresome family of experts in the field of creatures known as cryptids attempts to protect their secrets and powers from the forces of evil.
Pyarey Afzal,9.0,Young man confronts his forbidden love and situation changes dramatically as things starts to unfold.
Forbidden Apple,5.8,"Three things in life can not be hidden ""love, smoke and lack of money"". The social society and the events behind the business world are told."
So Random!,4.5,"The spin-off to Sonny with a Chance, So Random! is a musical sketch comedy continuing some of the sketches on the original show while introducing new sketches with a new repertory cast."
Saber Rider and the Star Sheriffs,8.4,"In the distant future, a team of four high-tech Star Sheriffs defends frontier space colony Yuma from outlaws, as well as Outriders, an army of humanoid alien beings called Vapors, led by mysterious Nemesis, who need Yuma's resources."
Ruhsar,6.1,"After her death, Ruhsar returns as a ghost to be with his husband Mazhar, but she must use her magical abilities to protect their happiness from Mazhar's mother, who is unaware of Ruhsar's ...                See full summary »"
The Village,7.7,Follows the residents of one English village across the 20th century and their turbulent lives.
K,7.0,"A young boy is wanted for a crime he has no recollection of committing and must go on the run, hunted by two kings and their forces."
Single's Inferno,7.2,Nine people who co-live on an island and try to find the love of their life.
Nirvana in Fire,8.9,Story about a son's search for his family's lost honor.
"Denver, the Last Dinosaur",6.4,"When an unusually intelligent dinosaur unexpectedly hatches from a fossilized egg in 1980s California, a friendly group of human teenagers adopts him and teaches him how to hide from prying eyes and master skateboarding."
Cavemen,4.3,A trio of Neanderthals struggles to live in modern-day America.
20 Dakika,7.4,An innocent pastrycook Melek gets accused of injuring an important politician's son. Her loving husband Ali wants to help his wife to escape from prison.
Scare PewDiePie,3.8,"In this reality-adventure series from the creator and executive producers of ""The Walking Dead,"" experience thrills, chills, and laughter as PewDiePie encounters terrifying situations inspired by his favorite video games."
Age of Youth,8.3,"Five college students, from different walks of life end up living together in a fictional house share called Belle Epoque."
The New Avengers,7.2,"Secret agent Steed, working for an unnamed branch of British intelligence, is teamed up with two partners to fight evil plots for world domination, dealing with suspended animation, biological warfare, robotics, and other threats."
Wild 'N Out,6.5,Watch as Nick Cannon and a new A-list celebrity lead a team of improv comedians each week as they compete against each other in the new show: Nick Cannon Presents Wild 'N Out.
800 Words,7.9,A recently widowed father quits his job as a popular 800-word columnist for a top-selling Sydney newspaper.
Matter of Respect,7.1,Follow the Kilic brothers as they take different paths in life after moving from the tiny Ayvalik to the vibrant Istanbul.
Deathstroke: Knights & Dragons,6.6,"Ten years ago, Slade Wilson-aka the super-assassin called Deathstroke-made a tragic mistake and his wife and son paid a terrible price. Now, a decade later, Wilson's family is threatened once again."
Run BTS!,9.6,"Run BTS (Dallyeola Bangtan!) is a South Korean show by the boy band BTS (Bangtan Sonyeondan). The show is all about BTS doing activities, challenges, games and lots more."
Lalbazaar,6.3,A set of brave cops deal with the dark underbelly and bring some of the most sinister customers to justice.
Heathcliff,6.5,"Scruffy Alley cat rules his neighborhood. Rejected monsters drive about doing odd jobs. Clumsy, lovable great dane gets into mischief without meaning to."
Canada's Drag Race,7.4,"12 drag queens compete to become Canada's Next Drag Superstar through challenges demonstrating their charisma, uniqueness, nerve and talent."
Father Knows Best,7.4,"The popular radio show comes to life in this hit sitcom about a wise family man, Jim Anderson, his common-sense wife Margaret and their children Betty, Bud and Kathy."
Survivor's Remorse,7.1,Cam Calloway and Reggie Vaughn gained fame and fortune that no one could have imagined growing up in one of Boston''s most infamous neighborhoods.
Men in Kilts: A Roadtrip with Sam and Graham,8.5,"Sam Heughan and Graham McTavish take viewers on a road-trip, discovering the rich and complex heritage of their native Scotland."
Interrogation,7.3,A non-linear crime series that is centered around an interrogation of people who might be involved in a decades-old murder case.
The Shivering Truth,8.1,The Shivering Truth is a miniature propulsive omnibus clusterbomb of painfully riotous daymares all dripping with the orange goo of dream logic. A series of loosely linked emotional ...                See full summary »
Weird City,6.0,A Twilight Zone-esque look at the life and people living in a futuristic city where the haves and the have nots are strictly separated by a wall.
Indian Predator: The Butcher of Delhi,6.0,"Uncovering the details of gruesome killings, people who were at the epicentre talk about what went down."
The Girl in the Mirror,6.3,"After losing her memory in a bizarre accident that kills most of her classmates, Alma tries to unravel what happened that day and regain her identity."
Barkskins,7.2,"Based on the novel by Pulitzer-winner Annie Proulx, BARKSKINS follows a disparate group of outcasts who must navigate brutal hardships, competing interests, and tangled loyalties at the crossroads of civilization- late 1600s New France."
Bref.,8.2,"Short videos showing typical funny moments in French life, depicting way of life, being, laughing, habits, and using slang vocabulary. Specially recommended for Parisians and / or people who lived there."
This Life,8.5,"A series following the lives of Miles, Milly, Warren, Egg and Anna, five young professionals."
Pearson,6.8,Attorney Jessica Pearson enters the complex and seedy world of Chicago politics.
Tim and Eric's Bedtime Stories,7.8,Tim and Eric's parody of horror anthology TV shows.
Centaurworld,7.7,"A hardened war horse transported away from battle finds herself in a land that's inhabited by silly, singing centaurs of all shapes and sizes."
"China, IL",7.1,Steve and Frank Smith are brothers who teach the history department in the worst university in America.
Growing Up Fisher,7.5,"A typical family in the middle of a divorce: two kids, mom, dad, and guide dog. Oh, and dad's blind."
The Same Sky,7.4,"Lars is a ""Romeo agent"" from East Germany in the 1970s. His task is to go West, first to seduce and then to spy on Western women who worked in government or defense institutions."
You Can't Do That on Television,8.1,"Sketch TV by young amateur actors in true classic Nick-style. But whatever you do, never admit that you don't know or ask for water."
Yeh Rishtey Hain Pyaar Ke,7.4,"Mishti, a young woman, is expected to settle for an arranged married by her family. However, she feels that she must get a chance to know her life partner well before tying the knot with him."
Queer Eye,6.4,Five gay men try to improve the lives and confidence of straight men by giving them makeovers and advice.
Complications,7.1,"John Ellison, a disillusioned suburban ER doctor, finds his existence transformed when he intervenes in a drive-by shooting, saving a young boy's life and killing one of his attackers. When...                See full summary »"
Jul på Vesterbro,8.1,"A comedy series about people, stories and Christmas in Vesterbro, Copenhagen, acted entirely by comedian Anders Matthesen."
Screenwipe,8.8,Satirical TV show critique.
Cennet Mahallesi,4.5,"""The Paradise Quarter"" is located at the outskirts of Istanbul. A place abundant with dance, music and love. The most beautiful girls, the most swaggering young men, the most talkative, nice and emotional people are living here."
Swagger,7.3,Inspired by Kevin Durant's youth basketball playing experience on the AAU circuit.
Uspjeh,7.8,Follows the intertwining stories of four strangers who are bound together by a violent event.
Paragon: The Shadow Wars,3.4,"In a world where reapers and demons roam, people must find a new place to call the afterlife or risk never having lived at all."
The Sweeney,8.1,"Jack Regan and George Carter are hard-edged detectives in the Flying Squad of London's Metropolitan Police. They pursue villains by methods which are underhanded and often illegal, frequently violent and - more often than not - successful."
Savvatogennimenes,8.0,"Sakis Boulas plays a man who wins a great amount of money but has a car crash before he receives it. As a result, he gets amnesia and doesn't remember anything, not even his own name. ...                See full summary »"
Citrus,6.5,Fashionable Yuzu’s life goes from sweet to sour when the beautiful but stern Mei falls into her life.
Robotboy,5.8,"Robotboy is a cute, cutting-edge, butt-kicking battle-robot, who dreams of becoming a real boy. Created by world-renowned scientist Professor Moshimo."
Upright Citizens Brigade,8.0,"Agents Adair, Antoine, Colby, and Trotter both monitor and create chaos across the universe. The sketches seen throughout most of the show are different subjects being monitored. At the end...                See full summary »"
The Joel McHale Show with Joel McHale,7.1,"Joel McHale, the snarky star of Community (2009), ridicules the silliest moments reality television, internet videos and TV from around the world have to offer. Each episode also features celebrity guests and a couple of sketches."
Dadi,6.3,"A Turkish remake of ""The Nanny"". Melek, fresh out of her job as a bridal consultant in her boyfriend's shop, is working as a door-to-door cosmetics saleswoman when she stumbles onto the ...                See full summary »"
Wagle Ki Duniya,8.9,Three generations of a middle-class family navigate the ups and downs of life and overcome their simple everyday struggles together.
Point Pleasant,7.0,"A series of supernatural events begins in a small coastal New Jersey town after the arrival of a mysterious teenage girl, who apparently has the ability to influence the people and events around her."
Beecham House,6.8,A look at the lives of residents living in a Delhi mansion at the cusp of the 19th Century.
La usurpadora,7.8,"Two identical twin sisters separated at birth reunite and the rich, devious and cruel one proposes to her sweet-hearted counterpart to assume her place."
Bad Girls,7.9,British hard-hitting drama about the staff and inmates of a women's prison.
Muñeca brava,7.3,"The story of an orphan who's working in a Mansion, she falls in love with the owners' son, in fact they both fall for each other, many other mixtured side stories come, they have an impressive chemistry, would they end up together?"
Hamtaro,6.3,The story of hamsters who get together at meetings to talk about their adventures.
Love Bites,7.4,"A series about love, and all the crazy things it makes us do, like pretending to be a virgin to get a guy interested. Or competing with your fiancée's favorite bedroom toy. Or actually ...                See full summary »"
Warriors,8.2,After seeing devastating results of ethnic war in former Yugoslavia soldiers from UNPROFOR peace units find it impossible to return back to their civil lives in the UK.
Love It or List It,6.4,"Homeowners decide that their houses don't fit their lifestyle anymore, but whether they stay or go depends on experts Hilary Farr and David Visentin. Will they love their newly renovated home, or will they list it to buy another?"
Baki Hanma,6.7,"To gain the skills he needs to surpass his powerful father, Baki enters Arizona State Prison to take on the notorious inmate known as Mr. Unchained."
The Madame Blanc Mysteries,7.2,Antiques expert moves to France suspicious of how her husband died and uses her skills to become a PI aiding the local police and simultaneously bonding with the town's popular taxi driver.
Welcome to Flatch,6.7,"A documentary film crew follows a group of young adults and their current concerns, in their small town. The crew focus is the daily lives of cousins Kelly and Shrub Mallet and their idiosyncratic surroundings."
The Rachel Maddow Show,6.1,"Daytime Host of the now-defunct Air America Radio's liberal talk show host discusses current events, with an emphasis on politics."
Andi Mack,7.4,"A contemporary coming-of-age story about a girl who's trying to determine where she fits in. When her free-spirited older sister returns with a revelation that changes everything, it sends Andi on an uncharted course of self-discovery."
Yumi's Cells,8.2,"The story of an ordinary office worker named Yumi-from the point of view of the many brain cells in her head controlling her every thought, feeling, and action."
Bluff City Law,6.8,Lawyers at an elite Memphis law firm specialize in controversial landmark civil rights cases.
Nowhere Boys,7.0,"This fantasy action-adventure series follows four teenage boys who get lost in the forest and discover, when they return home, that they are in an alternate world identical to theirs except...                See full summary »"
Tekken: The Motion Picture,5.2,"A wealthy mogul organizes a world fighting tournament on an offshore Chinese island. His hated son in search for vengeance and a pair of cops investigating the real reason for holding the tournament, secretly join the fighters."
Transformers: Animated,6.6,Transformers crash land on present day Earth and inadvertently cause a technological revolution. They wake up 50 years later in a world where robots are used in everyday life. StarScream arrives looking for their AllSpark.
Utopia,8.4,"Comedy set inside the offices of the ""Nation Building Authority"", a newly created government organization responsible for overseeing major infrastructure projects."
Bu Sehir Arkandan Gelecek,6.4,"Rauf, who is working as a cook on cargo ships, adopts and raises Ali who witnessed his mother's death when he was 5 years old. They work on ships for 24 years together. Rauf was both mother...                See full summary »"
Akasya Duragi,3.0,Funny and extraordinary life of taxi drivers working in a taxi station named Akasya Duragi.
Thirty Nine,7.7,"Three rounding almost the 40 year old mark, will juggle life, work and relationships."
The Carbonaro Effect,7.5,"Michael Carbonaro, a magician by trade and prankster by heart, performs elaborate tricks on unsuspecting members of the public."
Tiflisi,9.1,The history of Georgia in the nineteenth century.
True Justice,4.5,"Elijah Kane, an ex-special forces operative and martial arts expert, is part of an undercover police team that carry out an often brutal style of law enforcement on the streets, similar to what Casey Ryback does on a boat."
Oi aparadektoi,9.0,"The adventures of four people who live in Athens: Spyros and his wife Dimitra, and Vlassis with his friend Yannis. They are best friends and can't stay out of trouble."
Eigen kweek,7.9,a farmer loses all his money and decides to grow weed to compensate for the losses.
100 Foot Wave,8.1,"Follows the decade-long odyssey of big-wave pioneer Garrett McNamara who, after visiting a small fishing village in Portugal, helped push the sport beyond the realm of imagination."
Ten Percent,6.9,The series takes place at a London talent agency where agents scramble to keep their star clients happy and their business afloat after the sudden death of their founder.
History of Horror,8.1,An in-depth look at the history and pop cultural significance of horror films.
Upper Middle Bogan,7.9,"Middle class woman, Bess Denyar, discovers she's adopted. She's shocked to find her birth parents head up a drag racing team in the outer suburbs."
Ultraman,6.8,"Shinjiro Hayata learns that his father passed on the ""Ultraman Factor"" to him and fights against evil."
Downward Dog,7.4,A lonely dog navigates the complexity of 21st century relationships.
Kolah Ghermezi 88,8.1,its noroz holidays and Aghaye Mojri is speaking with children. Kolah Gere's and PesarKhale are in the show and many guests arrives.
Haven't You Heard? I'm Sakamoto,7.1,"Sakamoto is a genius who is well liked by both girls and boys. Despite the strange situations he may be in, Sakamoto always manages to fix the problem in absolute perfection while still being over the top."
One on One,7.1,A sportscaster must take on the responsibility of being a full-time dad when his teenage daughter moves in with him.
Good Sam,6.0,Follows a talented yet stifled surgeon who embraces her leadership role after her renowned and pompous boss falls into a coma.
In the SOOP BTS Ver.,9.5,"The members of BTS enjoy the beauty of the SOOP as they create their own schedules in advance and each spend time enjoying their hobbies. From painting to canoeing, the seven of them will be spending time together in the same place."
The Lion Guard,6.4,"Kion, the son of Simba, leads his friends known as the Lion Guard to protect the Pride Lands."
Packed to the Rafters,7.5,Meet Dave and Julie Rafter - just your average Australians with three grown-up children. On the eve of their twenty-fifth wedding-anniversary it seems they're at last about to have the house to themselves.
Bella and the Bulldogs,5.2,"Follows a perky head cheerleader named Bella whose life in Texas takes an unexpected twist when she becomes the new quarterback for her school team, the Bulldogs."
Jack & Bobby,8.0,"The early life of Bobby McCallister, a progressive President of the United States from 2041 to 2049, is explored."
Gap,8.9,"Mon is an idol of Sam, and when they meet again at the office, she is surprised by her icy exterior. They are different in class and age, with a gap of eight years between them."
Janet King,7.7,"Senior Prosecutor Janet King returns from maternity leave to confront a high-profile murder, and a conspiracy which will have shocking ramifications throughout the judicial system."
Office Office,8.9,The show follows the comedy of a man struggling to get his work done in corrupt offices.
Bizaardvark,3.9,Centers on best friends Paige and Frankie who express their offbeat individuality through funny music videos on their vlog channel Bizaardvark.
Forky Asks a Question,6.7,"Forky asks important questions about how the world works, such as: what is love? What is time? And of course, the deepest question of all: what is cheese?"
Aoashi,8.1,"Ashito Aoi, who lives in Ehime prefecture. Ashito has a strong talent in soccer, but he tries to hide it. Due to his very straightforward personality, he causes a disaster that serves as a huge setback for him"
Snooki & JWoww,3.2,"Follows Jersey Shore BFF's, Nicole ""Snooki"" Polizzi and Jenni ""JWoww"" Farley as they start a new chapter in their lives and take over Jersey City."
Red Sleeve,8.5,"Based on a novel of the same name, it tells the record of a royal court romance between the King of Joseon who believes his duty is to his country first above love, and a court lady who wants to protect the life she has chosen."
Herman's Head,7.1,The four aspects of a man's personality help him get through different situations in life.
Spitting Image,7.4,A satire show using puppets that are caricatures of major public figures.
Sea Patrol,7.5,"Following the crew of the patrol boat HMAS Hammersley, as they patrol the northern sea border of Australia. They have to deal with foreign fishermen poaching fish, smugglers and with political unrest in a neighbouring island state."
Dennis the Menace,7.0,Television episodes built around the same sorts of incidents found in Hank Ketcham's long-running comic strip.
Jack Taylor,7.4,Ex-cop Jack Taylor earns a reputation for being a tough-as-nails private investigator who's not afraid to take on vigilantes or track down killers.
Blood Blockade Battlefront,7.2,"In a city where the paranormal and ordinary co-exist, the Libra organization battles to ensure peace and order."
Ashes of Love,8.3,"Flower Goddess dies giving birth to her daughter, Jin Mi. She was imprisoned within Shui Jing until Xu Feng, heavenly emperor's second sun enters it mistakenly. After living together for 100years he falls in love with that ignorant Jin Mi."
SportsCenter,8.1,"Daily sports news, results, and features."
How the West Was Won,8.2,"The Macahans, a family from Virginia, headed by Zeb Macahan, travel across the country to pioneer a new land and a new home in the American West."
Medabots,6.7,"10-year-old Ikki Tenrio has always dreamed about becoming a top-ranked medafighter, and now that he has his own medabot he can finally pursue his dream."
Wreck,6.8,"Follows nineteen-year-old Jamie, a new recruit who joins the Sacramentum crew in search of his missing sister."
Game-On,7.9,The daily lives of three London flatmates.
